age,sex,bmi,children,smoker,region,charges,SSN,Name
63,male,28.31,0,no,northwest,13770.0979,7947383,Sandy Stephenson
28,male,36.4,1,yes,southwest,51194.55914,6153051,Sarah Mitchell
19,male,20.425,0,no,northwest,1625.43375,9621851,Bryan Allen
62,female,32.965,3,no,northwest,15612.19335,7403450,George Day
26,male,20.8,0,no,southwest,2302.3,6582029,Brian Murphy
35,male,36.67,1,yes,northeast,39774.2763,2172715,Donald Horne
60,male,39.9,0,yes,southwest,48173.361,8922680,Kristen Salazar
24,female,26.6,0,no,northeast,3046.062,7844736,Leslie Carpenter
31,female,36.63,2,no,southeast,4949.7587,4701687,Bryan Cole
41,male,21.78,1,no,southeast,6272.4772,3986800,Justin Cox
37,female,30.8,2,no,southeast,6313.759,8962309,Justin Wells Jr.
38,male,37.05,1,no,northeast,6079.6715,7584419,Christopher Barr
55,male,37.3,0,no,southwest,20630.28351,4540193,Cynthia Williams
18,female,38.665,2,no,northeast,3393.35635,8516122,Brandi Gordon
28,female,34.77,0,no,northwest,3556.9223,3391878,Jonathan Jacobson
60,female,24.53,0,no,southeast,12629.8967,8017046,Jody Palmer
36,male,35.2,1,yes,southeast,38709.176,1907903,Nathan Coleman
18,female,35.625,0,no,northeast,2211.13075,3427086,Antonio Fry
21,female,33.63,2,no,northwest,3579.8287,8546785,Philip Ramsey
48,male,28,1,yes,southwest,23568.272,8010062,Gary James
36,male,34.43,0,yes,southeast,37742.5757,7933410,William Smith
40,female,28.69,3,no,northwest,8059.6791,5621850,Benjamin Frost
58,male,36.955,2,yes,northwest,47496.49445,2126788,Elizabeth Wright
58,female,31.825,2,no,northeast,13607.36875,7124065,Caroline Adams
18,male,31.68,2,yes,southeast,34303.1672,4342661,Robert Long
53,female,22.88,1,yes,southeast,23244.7902,7146112,Jessica Smith
34,female,37.335,2,no,northwest,5989.52365,3341918,Kristen Rivera
43,male,27.36,3,no,northeast,8606.2174,2782827,Elizabeth Mendez
25,male,33.66,4,no,southeast,4504.6624,5807836,Andre Juarez
64,male,24.7,1,no,northwest,30166.61817,5367294,Kim Carlson
28,female,25.935,1,no,northwest,4133.64165,632424,Kathleen Morris
20,female,22.42,0,yes,northwest,14711.7438,2189092,Adam Cooper
19,female,28.9,0,no,southwest,1743.214,8055269,Lindsay Lawson
61,female,39.1,2,no,southwest,14235.072,1617990,Kimberly Hernandez
40,male,26.315,1,no,northwest,6389.37785,8000307,Michael Ray
40,female,36.19,0,no,southeast,5920.1041,3832060,Dr. Andrea Marshall
28,male,23.98,3,yes,southeast,17663.1442,5574313,Jacqueline Villegas
27,female,24.75,0,yes,southeast,16577.7795,1712100,Michael Morrison
31,male,28.5,5,no,northeast,6799.458,4768701,Jessica Ramsey
53,female,28.1,3,no,southwest,11741.726,2239559,Daniel Huang
58,male,32.01,1,no,southeast,11946.6259,5452267,Lucas Drake
44,male,27.4,2,no,southwest,7726.854,1006762,Keith Zuniga
57,male,34.01,0,no,northwest,11356.6609,6884443,Candace Jones
29,female,29.59,1,no,southeast,3947.4131,3490211,Brian Glover
21,male,35.53,0,no,southeast,1532.4697,1686854,Lisa Martinez
22,female,39.805,0,no,northeast,2755.02095,544471,Matthew Armstrong
41,female,32.965,0,no,northwest,6571.02435,357972,Brandy York
31,male,26.885,1,no,northeast,4441.21315,7489691,Tracy Fleming
45,female,38.285,0,no,northeast,7935.29115,8428241,Rebekah Greene
22,male,37.62,1,yes,southeast,37165.1638,5217525,Terry Jones
48,female,41.23,4,no,northwest,11033.6617,447898,Tiffany Mcclain
37,female,34.8,2,yes,southwest,39836.519,461849,Dawn Nichols
45,male,22.895,2,yes,northwest,21098.55405,7447012,Susan Watts
57,female,31.16,0,yes,northwest,43578.9394,9027716,Jesus Houston
56,female,27.2,0,no,southwest,11073.176,3177971,Lisa Smith
46,female,27.74,0,no,northwest,8026.6666,272614,Anthony Walker
55,female,26.98,0,no,northwest,11082.5772,4654722,Kristen Reynolds
21,female,39.49,0,no,southeast,2026.9741,438057,Mary Butler
53,female,24.795,1,no,northwest,10942.13205,8422940,Michele Holland
59,male,29.83,3,yes,northeast,30184.9367,9930561,Joshua Powell
35,male,34.77,2,no,northwest,5729.0053,4819346,Christine Soto
64,female,31.3,2,yes,southwest,47291.055,1009968,Jessica Foster
28,female,37.62,1,no,southeast,3766.8838,9492995,Donna Jones
54,female,30.8,3,no,southwest,12105.32,8725639,Sarah Trevino
55,male,38.28,0,no,southeast,10226.2842,9892665,Mr. Daniel Freeman
56,male,19.95,0,yes,northeast,22412.6485,2992280,Chris Moore
38,male,19.3,0,yes,southwest,15820.699,8862912,Kevin Saunders
41,female,31.6,0,no,southwest,6186.127,9818063,Jane Chapman
30,male,25.46,0,no,northeast,3645.0894,2601279,Justin King
18,female,30.115,0,no,northeast,21344.8467,9380118,Kelly Lee
61,female,29.92,3,yes,southeast,30942.1918,4163356,Bruce Palmer
34,female,27.5,1,no,southwest,5003.853,7595794,Cynthia Allen
20,male,28.025,1,yes,northwest,17560.37975,7636556,Adam Craig
19,female,28.4,1,no,southwest,2331.519,5588450,Sarah Holmes DDS
26,male,30.875,2,no,northwest,3877.30425,9876220,Tanya Fisher
29,male,27.94,0,no,southeast,2867.1196,8299796,Stacey Parker
63,male,35.09,0,yes,southeast,47055.5321,2663416,Melissa Vasquez
54,male,33.63,1,no,northwest,10825.2537,5705120,Anthony Nichols
55,female,29.7,2,no,southwest,11881.358,2491630,Tyrone Mayer
37,male,30.8,0,no,southwest,4646.759,9285574,Justin Newman
21,female,35.72,0,no,northwest,2404.7338,2203173,Mary Ryan
52,male,32.205,3,no,northeast,11488.31695,3839288,Stephanie Short
60,male,28.595,0,no,northeast,30259.99556,8240433,Mark Mckenzie
58,male,49.06,0,no,southeast,11381.3254,6139060,James Hardin
29,female,27.94,1,yes,southeast,19107.7796,8983314,George Alvarez
49,female,27.17,0,no,southeast,8601.3293,5383388,Robert Gonzalez
37,female,23.37,2,no,northwest,6686.4313,8780038,Mary Durham
44,male,37.1,2,no,southwest,7740.337,2983248,Mary Miller
18,male,23.75,0,no,northeast,1705.6245,2677223,Cody Farmer
20,female,28.975,0,no,northwest,2257.47525,347644,Logan Newton
44,male,31.35,1,yes,northeast,39556.4945,6860259,Kevin Marquez
47,female,33.915,3,no,northwest,10115.00885,220502,Lisa Snyder
26,female,28.785,0,no,northeast,3385.39915,1981794,Erica Merritt
19,female,28.3,0,yes,southwest,17081.08,8501556,Mario Wilson
52,female,37.4,0,no,southwest,9634.538,9145046,Emily Herrera
32,female,17.765,2,yes,northwest,32734.1863,5701840,John Russo
38,male,34.7,2,no,southwest,6082.405,1601662,Gregory Flores
59,female,26.505,0,no,northeast,12815.44495,9928161,Steven Scott
61,female,22.04,0,no,northeast,13616.3586,9196570,Gloria Benson
53,female,35.9,2,no,southwest,11163.568,5666683,Mrs. Ann Smith
19,male,25.555,0,no,northwest,1632.56445,9738468,Shannon English
20,female,28.785,0,no,northeast,2457.21115,4209494,Mary Barnett
22,female,28.05,0,no,southeast,2155.6815,7663723,Brian Thompson
19,male,34.1,0,no,southwest,1261.442,3938525,Robert Reyes
22,male,25.175,0,no,northwest,2045.68525,1406650,Michelle Wilson
54,female,31.9,3,no,southeast,27322.73386,6183067,Kenneth King
22,female,36,0,no,southwest,2166.732,8700505,Stephanie Mccoy
34,male,22.42,2,no,northeast,27375.90478,5198253,Summer Hoover
26,male,32.49,1,no,northeast,3490.5491,9279145,John Smith
34,male,25.3,2,yes,southeast,18972.495,1137995,Michael Williams
29,male,29.735,2,no,northwest,18157.876,5349292,James Taylor
30,male,28.69,3,yes,northwest,20745.9891,2543107,Jennifer Williams
29,female,38.83,3,no,southeast,5138.2567,8183253,Lisa Johnston
46,male,30.495,3,yes,northwest,40720.55105,2723804,Meghan Patel
51,female,37.73,1,no,southeast,9877.6077,2223105,Eric Anderson
53,female,37.43,1,no,northwest,10959.6947,2814069,Theresa Reilly
19,male,28.4,1,no,southwest,1842.519,7674266,Larry Harding
35,male,24.13,1,no,northwest,5125.2157,7146273,Suzanne Gonzalez
48,male,29.7,0,no,southeast,7789.635,8554451,Shawn Taylor
32,female,37.145,3,no,northeast,6334.34355,4013223,Michaela Lang
42,female,23.37,0,yes,northeast,19964.7463,8911908,Michael Webster
40,female,25.46,1,no,northeast,7077.1894,7386463,Philip Edwards
44,male,39.52,0,no,northwest,6948.7008,7114773,Ryan Powell
48,male,24.42,0,yes,southeast,21223.6758,8427624,Katherine Green
18,male,25.175,0,yes,northeast,15518.18025,4911415,Alfred Williams
30,male,35.53,0,yes,southeast,36950.2567,3919195,Michael Rogers
50,female,27.83,3,no,southeast,19749.38338,3246651,Kimberly Ibarra
42,female,26.6,0,yes,northwest,21348.706,6231981,Christina Nelson
18,female,36.85,0,yes,southeast,36149.4835,348645,Scott Brown
54,male,39.6,1,no,southwest,10450.552,634591,Tammy Cook
32,female,29.8,2,no,southwest,5152.134,1529108,Theresa Wilkerson
37,male,29.64,0,no,northwest,5028.1466,1800537,William Young
47,male,28.215,4,no,northeast,10407.08585,5625728,Bonnie Stewart
20,female,37,5,no,southwest,4830.63,6137150,Nathan Hernandez
32,female,33.155,3,no,northwest,6128.79745,2664214,Dr. Rebecca Anderson DVM
19,female,31.825,1,no,northwest,2719.27975,2438649,Mark Davis
27,male,18.905,3,no,northeast,4827.90495,6800610,Sarah Williams
63,male,41.47,0,no,southeast,13405.3903,7933496,Mr. David Wilkinson
49,male,30.3,0,no,southwest,8116.68,8395972,Kenneth Tran
18,male,15.96,0,no,northeast,1694.7964,5508428,Anthony Smith
35,female,34.8,1,no,southwest,5246.047,2863266,Dr. Christian Cox PhD
24,female,33.345,0,no,northwest,2855.43755,6341085,Rebecca Liu
63,female,37.7,0,yes,southwest,48824.45,5449268,Anthony Watson
38,male,27.835,2,no,northwest,6455.86265,3770285,Jennifer Hansen
54,male,29.2,1,no,southwest,10436.096,6792287,Timothy Torres
46,female,28.9,2,no,southwest,8823.279,3971895,Maria Miller
41,female,33.155,3,no,northeast,8538.28845,1033993,Brandon Parker
58,male,28.595,0,no,northwest,11735.87905,794200,Marisa Martinez
18,female,38.28,0,no,southeast,1631.8212,268768,Jonathan Pham
22,male,19.95,3,no,northeast,4005.4225,7283999,Michelle Lee
44,female,26.41,0,no,northwest,7419.4779,5190361,Zachary Hill
44,male,30.69,2,no,southeast,7731.4271,4961108,Terri Parsons
36,male,41.895,3,yes,northeast,43753.33705,24968,Corey Garcia
26,female,29.92,2,no,southeast,3981.9768,1707303,William Davidson
30,female,30.9,3,no,southwest,5325.651,4102615,Kevin Cannon
41,female,32.2,1,no,southwest,6775.961,2868578,Angel Jensen
29,female,32.11,2,no,northwest,4922.9159,7766575,Laura Walls
61,male,31.57,0,no,southeast,12557.6053,7826333,Felicia Leonard
36,female,26.2,0,no,southwest,4883.866,6361863,Alexandra Cochran
25,male,25.74,0,no,southeast,2137.6536,2346729,Joseph Gibson
56,female,26.6,1,no,northwest,12044.342,6032484,Brandon Lucas
18,male,34.43,0,no,southeast,1137.4697,7274220,Nicole James
19,male,30.59,0,no,northwest,1639.5631,6005313,Margaret Moran
39,female,32.8,0,no,southwest,5649.715,8924195,James Stewart
45,female,28.6,2,no,southeast,8516.829,4508640,Jeffrey Sanchez
51,female,18.05,0,no,northwest,9644.2525,9734715,Teresa Martinez MD
64,female,39.33,0,no,northeast,14901.5167,6567491,Eric Campbell
19,female,32.11,0,no,northwest,2130.6759,8362644,Alyssa Wade
48,female,32.23,1,no,southeast,8871.1517,234679,Jason Roberts
60,female,24.035,0,no,northwest,13012.20865,5510762,Ricky Bennett
27,female,36.08,0,yes,southeast,37133.8982,7178333,Dr. Robert Bailey
46,male,22.3,0,no,southwest,7147.105,5690409,Thomas Paul
28,female,28.88,1,no,northeast,4337.7352,3302764,Kyle Thomas
59,male,26.4,0,no,southeast,11743.299,1572018,Matthew Ray
35,male,27.74,2,yes,northeast,20984.0936,1518260,Bradley Burns
63,female,31.8,0,no,southwest,13880.949,7297585,Marissa Miller
40,male,41.23,1,no,northeast,6610.1097,6256609,Debbie Santos
20,male,33,1,no,southwest,1980.07,2588967,Rachel Martinez
40,male,30.875,4,no,northwest,8162.71625,7068277,Troy Meyer
24,male,28.5,2,no,northwest,3537.703,963480,Casey Gomez
34,female,26.73,1,no,southeast,5002.7827,8637940,Allison Hill
45,female,30.9,2,no,southwest,8520.026,3419283,Mark Mcclure
41,female,37.1,2,no,southwest,7371.772,6697848,David Hoffman
53,female,26.6,0,no,northwest,10355.641,8227824,Kimberly Osborne
27,male,23.1,0,no,southeast,2483.736,7631165,Benjamin Welch
26,female,29.92,1,no,southeast,3392.9768,4687234,Savannah Garcia
24,female,23.21,0,no,southeast,25081.76784,4751079,Steve Sanchez
34,female,33.7,1,no,southwest,5012.471,52427,Shawn Baker
53,female,33.25,0,no,northeast,10564.8845,7337543,Brian Deleon
32,male,30.8,3,no,southwest,5253.524,5951484,Nicholas Edwards
19,male,34.8,0,yes,southwest,34779.615,7693676,Michael Dixon
42,male,24.64,0,yes,southeast,19515.5416,4558122,Stephanie Simmons
55,male,33.88,3,no,southeast,11987.1682,9806990,James Snow
28,male,38.06,0,no,southeast,2689.4954,9912419,Barry Bernard
58,female,41.91,0,no,southeast,24227.33724,3147379,Samuel Short
41,female,31.635,1,no,northeast,7358.17565,8557444,Justin Allen
47,male,25.46,2,no,northeast,9225.2564,1167190,Joseph Hill
42,female,36.195,1,no,northwest,7443.64305,3447134,Lisa Singh
59,female,27.83,3,no,southeast,14001.2867,7429671,Katherine Miller
19,female,17.8,0,no,southwest,1727.785,1093248,April Booth
59,male,27.5,1,no,southwest,12333.828,5886753,Katie Suarez
39,male,24.51,2,no,northwest,6710.1919,3431611,Charles Pitts
40,female,22.22,2,yes,southeast,19444.2658,7436713,Kathleen Aguilar
18,female,26.73,0,no,southeast,1615.7667,8588424,Patricia Becker
31,male,38.39,2,no,southeast,4463.2051,1382675,Ashley Hall
19,male,29.07,0,yes,northwest,17352.6803,3529042,Colton Martinez
44,male,38.06,1,no,southeast,7152.6714,1592124,Ivan Wheeler
23,female,36.67,2,yes,northeast,38511.6283,6560494,Nicholas Edwards
33,female,22.135,1,no,northeast,5354.07465,6675254,Sandra Adams
55,female,26.8,1,no,southwest,35160.13457,762268,Douglas Gregory
40,male,35.3,3,no,southwest,7196.867,1818835,Travis Stevens
63,female,27.74,0,yes,northeast,29523.1656,9807935,John Welch
54,male,30.02,0,no,northwest,24476.47851,6291486,Raymond Shelton
60,female,38.06,0,no,southeast,12648.7034,7947383,Sandy Stephenson
24,male,35.86,0,no,southeast,1986.9334,6153051,Sarah Mitchell
19,male,20.9,1,no,southwest,1832.094,9621851,Bryan Allen
29,male,28.975,1,no,northeast,4040.55825,7403450,George Day
18,male,17.29,2,yes,northeast,12829.4551,6582029,Brian Murphy
63,female,32.2,2,yes,southwest,47305.305,2172715,Donald Horne
54,male,34.21,2,yes,southeast,44260.7499,8922680,Kristen Salazar
27,male,30.3,3,no,southwest,4260.744,7844736,Leslie Carpenter
50,male,31.825,0,yes,northeast,41097.16175,4701687,Bryan Cole
55,female,25.365,3,no,northeast,13047.33235,3986800,Justin Cox
56,male,33.63,0,yes,northwest,43921.1837,8962309,Justin Wells Jr.
38,female,40.15,0,no,southeast,5400.9805,7584419,Christopher Barr
51,male,24.415,4,no,northwest,11520.09985,4540193,Cynthia Williams
19,male,31.92,0,yes,northwest,33750.2918,8516122,Brandi Gordon
58,female,25.2,0,no,southwest,11837.16,3391878,Jonathan Jacobson
20,female,26.84,1,yes,southeast,17085.2676,8017046,Jody Palmer
52,male,24.32,3,yes,northeast,24869.8368,1907903,Nathan Coleman
19,male,36.955,0,yes,northwest,36219.40545,3427086,Antonio Fry
53,female,38.06,3,no,southeast,20462.99766,8546785,Philip Ramsey
46,male,42.35,3,yes,southeast,46151.1245,8010062,Gary James
40,male,19.8,1,yes,southeast,17179.522,7933410,William Smith
59,female,32.395,3,no,northeast,14590.63205,5621850,Benjamin Frost
45,male,30.2,1,no,southwest,7441.053,2126788,Elizabeth Wright
49,male,25.84,1,no,northeast,9282.4806,7124065,Caroline Adams
18,male,29.37,1,no,southeast,1719.4363,4342661,Robert Long
50,male,34.2,2,yes,southwest,42856.838,7146112,Jessica Smith
41,male,37.05,2,no,northwest,7265.7025,3341918,Kristen Rivera
50,male,27.455,1,no,northeast,9617.66245,2782827,Elizabeth Mendez
25,male,27.55,0,no,northwest,2523.1695,5807836,Andre Juarez
47,female,26.6,2,no,northeast,9715.841,5367294,Kim Carlson
19,male,20.615,2,no,northwest,2803.69785,632424,Kathleen Morris
22,female,24.3,0,no,southwest,2150.469,2189092,Adam Cooper
59,male,31.79,2,no,southeast,12928.7911,8055269,Lindsay Lawson
51,female,21.56,1,no,southeast,9855.1314,1617990,Kimberly Hernandez
40,female,28.12,1,yes,northeast,22331.5668,8000307,Michael Ray
54,male,40.565,3,yes,northeast,48549.17835,3832060,Dr. Andrea Marshall
30,male,27.645,1,no,northeast,4237.12655,5574313,Jacqueline Villegas
55,female,32.395,1,no,northeast,11879.10405,1712100,Michael Morrison
52,female,31.2,0,no,southwest,9625.92,4768701,Jessica Ramsey
46,male,26.62,1,no,southeast,7742.1098,2239559,Daniel Huang
46,female,48.07,2,no,northeast,9432.9253,5452267,Lucas Drake
63,female,26.22,0,no,northwest,14256.1928,1006762,Keith Zuniga
59,female,36.765,1,yes,northeast,47896.79135,6884443,Candace Jones
52,male,26.4,3,no,southeast,25992.82104,3490211,Brian Glover
28,female,33.4,0,no,southwest,3172.018,1686854,Lisa Martinez
29,male,29.64,1,no,northeast,20277.80751,544471,Matthew Armstrong
25,male,45.54,2,yes,southeast,42112.2356,357972,Brandy York
22,female,28.82,0,no,southeast,2156.7518,7489691,Tracy Fleming
25,male,26.8,3,no,southwest,3906.127,8428241,Rebekah Greene
18,male,22.99,0,no,northeast,1704.5681,5217525,Terry Jones
19,male,27.7,0,yes,southwest,16297.846,447898,Tiffany Mcclain
47,male,25.41,1,yes,southeast,21978.6769,461849,Dawn Nichols
31,male,34.39,3,yes,northwest,38746.3551,7447012,Susan Watts
48,female,28.88,1,no,northwest,9249.4952,9027716,Jesus Houston
36,male,27.55,3,no,northeast,6746.7425,3177971,Lisa Smith
53,female,22.61,3,yes,northeast,24873.3849,272614,Anthony Walker
56,female,37.51,2,no,southeast,12265.5069,4654722,Kristen Reynolds
28,female,33,2,no,southeast,4349.462,438057,Mary Butler
57,female,38,2,no,southwest,12646.207,8422940,Michele Holland
29,male,33.345,2,no,northwest,19442.3535,9930561,Joshua Powell
28,female,27.5,2,no,southwest,20177.67113,4819346,Christine Soto
30,female,33.33,1,no,southeast,4151.0287,1009968,Jessica Foster
58,male,34.865,0,no,northeast,11944.59435,9492995,Donna Jones
41,female,33.06,2,no,northwest,7749.1564,8725639,Sarah Trevino
50,male,26.6,0,no,southwest,8444.474,9892665,Mr. Daniel Freeman
19,female,24.7,0,no,southwest,1737.376,2992280,Chris Moore
43,male,35.97,3,yes,southeast,42124.5153,8862912,Kevin Saunders
49,male,35.86,0,no,southeast,8124.4084,9818063,Jane Chapman
27,female,31.4,0,yes,southwest,34838.873,2601279,Justin King
52,male,33.25,0,no,northeast,9722.7695,9380118,Kelly Lee
50,male,32.205,0,no,northwest,8835.26495,4163356,Bruce Palmer
54,male,32.775,0,no,northeast,10435.06525,7595794,Cynthia Allen
44,female,27.645,0,no,northwest,7421.19455,7636556,Adam Craig
32,male,37.335,1,no,northeast,4667.60765,5588450,Sarah Holmes DDS
34,male,25.27,1,no,northwest,4894.7533,9876220,Tanya Fisher
26,female,29.64,4,no,northeast,24671.66334,8299796,Stacey Parker
34,male,30.8,0,yes,southwest,35491.64,2663416,Melissa Vasquez
57,male,40.945,0,no,northeast,11566.30055,5705120,Anthony Nichols
29,male,27.2,0,no,southwest,2866.091,2491630,Tyrone Mayer
40,male,34.105,1,no,northeast,6600.20595,9285574,Justin Newman
27,female,23.21,1,no,southeast,3561.8889,2203173,Mary Ryan
45,male,36.48,2,yes,northwest,42760.5022,3839288,Stephanie Short
64,female,33.8,1,yes,southwest,47928.03,8240433,Mark Mckenzie
52,male,36.7,0,no,southwest,9144.565,6139060,James Hardin
61,female,36.385,1,yes,northeast,48517.56315,8983314,George Alvarez
52,male,27.36,0,yes,northwest,24393.6224,5383388,Robert Gonzalez
61,female,31.16,0,no,northwest,13429.0354,8780038,Mary Durham
56,female,28.785,0,no,northeast,11658.37915,2983248,Mary Miller
43,female,35.72,2,no,northeast,19144.57652,2677223,Cody Farmer
64,male,34.5,0,no,southwest,13822.803,347644,Logan Newton
60,male,25.74,0,no,southeast,12142.5786,6860259,Kevin Marquez
62,male,27.55,1,no,northwest,13937.6665,220502,Lisa Snyder
50,male,32.3,1,yes,northeast,41919.097,1981794,Erica Merritt
46,female,27.72,1,no,southeast,8232.6388,8501556,Mario Wilson
24,female,27.6,0,no,southwest,18955.22017,9145046,Emily Herrera
62,male,30.02,0,no,northwest,13352.0998,5701840,John Russo
60,female,27.55,0,no,northeast,13217.0945,1601662,Gregory Flores
63,male,36.765,0,no,northeast,13981.85035,9928161,Steven Scott
49,female,41.47,4,no,southeast,10977.2063,9196570,Gloria Benson
34,female,29.26,3,no,southeast,6184.2994,5666683,Mrs. Ann Smith
33,male,35.75,2,no,southeast,4889.9995,9738468,Shannon English
46,male,33.345,1,no,northeast,8334.45755,4209494,Mary Barnett
36,female,29.92,1,no,southeast,5478.0368,7663723,Brian Thompson
19,male,27.835,0,no,northwest,1635.73365,3938525,Robert Reyes
57,female,23.18,0,no,northwest,11830.6072,1406650,Michelle Wilson
50,female,25.6,0,no,southwest,8932.084,6183067,Kenneth King
30,female,27.7,0,no,southwest,3554.203,8700505,Stephanie Mccoy
33,male,35.245,0,no,northeast,12404.8791,5198253,Summer Hoover
18,female,38.28,0,no,southeast,14133.03775,9279145,John Smith
46,male,27.6,0,no,southwest,24603.04837,1137995,Michael Williams
46,male,43.89,3,no,southeast,8944.1151,5349292,James Taylor
47,male,29.83,3,no,northwest,9620.3307,2543107,Jennifer Williams
23,male,41.91,0,no,southeast,1837.2819,8183253,Lisa Johnston
18,female,20.79,0,no,southeast,1607.5101,2723804,Meghan Patel
48,female,32.3,2,no,northeast,10043.249,2223105,Eric Anderson
35,male,30.5,1,no,southwest,4751.07,2814069,Theresa Reilly
19,female,21.7,0,yes,southwest,13844.506,7674266,Larry Harding
21,female,26.4,1,no,southwest,2597.779,7146273,Suzanne Gonzalez
21,female,21.89,2,no,southeast,3180.5101,8554451,Shawn Taylor
49,female,30.78,1,no,northeast,9778.3472,4013223,Michaela Lang
56,female,32.3,3,no,northeast,13430.265,8911908,Michael Webster
42,female,24.985,2,no,northwest,8017.06115,7386463,Philip Edwards
44,male,32.015,2,no,northwest,8116.26885,7114773,Ryan Powell
18,male,30.4,3,no,northeast,3481.868,8427624,Katherine Green
61,female,21.09,0,no,northwest,13415.0381,4911415,Alfred Williams
57,female,22.23,0,no,northeast,12029.2867,3919195,Michael Rogers
42,female,33.155,1,no,northeast,7639.41745,3246651,Kimberly Ibarra
26,male,32.9,2,yes,southwest,36085.219,6231981,Christina Nelson
20,male,33.33,0,no,southeast,1391.5287,348645,Scott Brown
23,female,28.31,0,yes,northwest,18033.9679,634591,Tammy Cook
39,female,24.89,3,yes,northeast,21659.9301,1529108,Theresa Wilkerson
24,male,40.15,0,yes,southeast,38126.2465,1800537,William Young
64,female,30.115,3,no,northwest,16455.70785,5625728,Bonnie Stewart
62,male,31.46,1,no,southeast,27000.98473,6137150,Nathan Hernandez
27,female,17.955,2,yes,northeast,15006.57945,2664214,Dr. Rebecca Anderson DVM
55,male,30.685,0,yes,northeast,42303.69215,2438649,Mark Davis
55,male,33,0,no,southeast,20781.48892,6800610,Sarah Williams
35,female,43.34,2,no,southeast,5846.9176,7933496,Mr. David Wilkinson
44,male,22.135,2,no,northeast,8302.53565,8395972,Kenneth Tran
19,male,34.4,0,no,southwest,1261.859,5508428,Anthony Smith
58,female,39.05,0,no,southeast,11856.4115,2863266,Dr. Christian Cox PhD
50,male,25.365,2,no,northwest,30284.64294,6341085,Rebecca Liu
26,female,22.61,0,no,northwest,3176.8159,5449268,Anthony Watson
24,female,30.21,3,no,northwest,4618.0799,3770285,Jennifer Hansen
48,male,35.625,4,no,northeast,10736.87075,6792287,Timothy Torres
19,female,37.43,0,no,northwest,2138.0707,3971895,Maria Miller
48,male,31.445,1,no,northeast,8964.06055,1033993,Brandon Parker
49,male,31.35,1,no,northeast,9290.1395,794200,Marisa Martinez
46,female,32.3,2,no,northeast,9411.005,268768,Jonathan Pham
46,male,19.855,0,no,northwest,7526.70645,7283999,Michelle Lee
43,female,34.4,3,no,southwest,8522.003,5190361,Zachary Hill
21,male,31.02,0,no,southeast,16586.49771,4961108,Terri Parsons
64,male,25.6,2,no,southwest,14988.432,24968,Corey Garcia
18,female,38.17,0,no,southeast,1631.6683,1707303,William Davidson
51,female,20.6,0,no,southwest,9264.797,4102615,Kevin Cannon
47,male,47.52,1,no,southeast,8083.9198,2868578,Angel Jensen
64,female,32.965,0,no,northwest,14692.66935,7766575,Laura Walls
49,male,32.3,3,no,northwest,10269.46,7826333,Felicia Leonard
31,male,20.4,0,no,southwest,3260.199,6361863,Alexandra Cochran
52,female,38.38,2,no,northeast,11396.9002,2346729,Joseph Gibson
33,female,24.31,0,no,southeast,4185.0979,6032484,Brandon Lucas
